Transport ID;Container ID;Container Type;Forwarder;Trucking Time Start;Ground Handler 1;Airport 1;Ground Handler 2;Airport 2;Ground Handler 3;Airport 3;Ground Handler 4;Airport 4;Ground Handler 5;Airport 5;Trucking Time End
5779;000-10267;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5780;000-10265;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5781;000-10264;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5782;000-10064;770C;;16.07.2013;;;;; ##; ##; ##; ##; ##; ##;16.07.2013
5783;000-10064;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5784;000-10160;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5785;000-10160;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5786;000-10062;770C;;16.07.2013;;;;; ##; ##; ##; ##; ##; ##;16.07.2013
5787;000-10062;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5788;000-10268;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5789;000-10063;770C;;16.07.2013;;;;; ##; ##; ##; ##; ##; ##;16.07.2013
5790;000-10063;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5791;000-10269;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5792;000-10068;770C;;18.07.2013;;;;; ##; ##; ##; ##; ##; ##;18.07.2013
5793;000-10068;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5794;000-10069;770C;;18.07.2013;;;;; ##; ##; ##; ##; ##; ##;18.07.2013
5795;000-10069;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5796;000-10066;770C;;16.07.2013;;;;; ##; ##; ##; ##; ##; ##;16.07.2013
5797;000-10066;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5798;000-10167;770C;;13.09.2013;;;;; ##; ##; ##; ##; ##; ##;13.09.2013
5799;000-10167;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5800;000-10168;770C;;13.09.2013;;;;; ##; ##; ##; ##; ##; ##;13.09.2013
5801;000-10168;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5802;000-10165;770C;;13.09.2013;;;;; ##; ##; ##; ##; ##; ##;13.09.2013
5803;000-10165;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5804;000-10163;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5805;000-10163;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5806;000-10060;770C;;16.07.2013;;;;; ##; ##; ##; ##; ##; ##;16.07.2013
5807;000-10060;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5808;000-10369;770C;;09.12.2013;;;;; ##; ##; ##; ##; ##; ##;09.12.2013
5809;000-10164;770C;;13.09.2013;;;;; ##; ##; ##; ##; ##; ##;13.09.2013
5810;000-10164;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5811;000-10061;770C;;16.07.2013;;;;; ##; ##; ##; ##; ##; ##;16.07.2013
5812;000-10061;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5813;000-10161;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5814;000-10161;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5815;000-10367;770C;;09.12.2013;;;;; ##; ##; ##; ##; ##; ##;09.12.2013
5816;000-10162;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5817;000-10162;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5818;000-10368;770C;;09.12.2013;;;;; ##; ##; ##; ##; ##; ##;09.12.2013
5819;000-10375;770C;;12.12.2013;;;;; ##; ##; ##; ##; ##; ##;12.12.2013
5820;000-10374;770C;;12.12.2013;;;;; ##; ##; ##; ##; ##; ##;12.12.2013
5821;000-10377;770C;;12.12.2013;;;;; ##; ##; ##; ##; ##; ##;12.12.2013
5822;000-10376;770C;;12.12.2013;;;;; ##; ##; ##; ##; ##; ##;12.12.2013
5823;000-10371;770C;;09.12.2013;;;;; ##; ##; ##; ##; ##; ##;09.12.2013
5824;000-10370;770C;;09.12.2013;;;;; ##; ##; ##; ##; ##; ##;09.12.2013
5825;000-10270;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5826;000-10373;770C;;12.12.2013;;;;; ##; ##; ##; ##; ##; ##;12.12.2013
5827;000-10372;770C;;09.12.2013;;;;; ##; ##; ##; ##; ##; ##;09.12.2013
5828;000-10272;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5829;000-10271;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5830;000-10274;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5831;000-10273;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5832;000-10276;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5833;000-10275;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5834;000-10278;770C;;02.12.2013;;;;; ##; ##; ##; ##; ##; ##;02.12.2013
5835;000-10277;770C;;02.12.2013;;;;; ##; ##; ##; ##; ##; ##;02.12.2013
5836;000-10279;770C;;02.12.2013;;;;; ##; ##; ##; ##; ##; ##;02.12.2013
5837;000-10074;770C;;24.07.2013;;;;; ##; ##; ##; ##; ##; ##;24.07.2013
